Harmonic,Node,vr,vi,er,ei,vr_fr,vr_to,vi_fr,vi_to,type
1,0,1.0,0.0,0,0,0,0,0,0,bus
1,1,0.9848087320700822,-0.03411918008539943,0,0,0,0,0,0,bus
1,2,0.7544636888745709,-0.5834455349570982,0,0,0,0,0,0,bus
1,3,0.7543307658329719,-0.5834321484480253,0,0,0,0,0,0,bus
1,4,0.751249083683764,-0.5857837866964558,0,0,0,0,0,0,bus
1,5,0.751246125993372,-0.5857838248343171,0,0,0,0,0,0,bus
1,6,0.3575104085560586,-0.8829852216524506,0,0,0,0,0,0,bus
1,7,0.35751034146368055,-0.882985178487618,0,0,0,0,0,0,bus
1,8,0.3575100373955286,-0.8829851029864634,0,0,0,0,0,0,bus
1,9,0,0,-0.1286225608089146,0.9464962226790862,0.9832651831694041,0.7553784930216444,-0.033522391572825806,0.7553784930216444,xfmr
1,10,0,0,-0.5858208708228363,0.7512776949446195,0.7542989540139158,0.7512776949446195,-0.5833925686348904,0.7512776949446195,xfmr
1,11,0,0,-0.5859392031333472,0.7511149677064306,0.7512354454313583,0.3575150416298236,-0.5857759431139948,0.3575150416298236,xfmr
1,12,0,0,-0.8829851351909784,0.3575100277843103,0.3575103331993975,0.3575100277843103,-0.8829851021338463,0.3575100277843103,xfmr
3,0,1.2272733663244316e-91,7.185302036902571e-90,0,0,0,0,0,0,bus
3,1,0.0,0.0,0,0,0,0,0,0,bus
3,2,-5.763616804943721e-7,0.02942323526780973,0,0,0,0,0,0,bus
3,3,5.763616804979876e-7,0.029424998834007825,0,0,0,0,0,0,bus
3,4,-2.236158117855021e-8,0.04763122789444707,0,0,0,0,0,0,bus
3,5,2.23615811797611e-8,0.04763127854314611,0,0,0,0,0,0,bus
3,6,-1.6715247860534718e-7,-0.00020144159813901096,0,0,0,0,0,0,bus
3,7,-1.6717541576619253e-7,-0.00020144162440395577,0,0,0,0,0,0,bus
3,8,-1.1044105729595572e-7,-6.095743785985907e-7,0,0,0,0,0,0,bus
3,9,0,0,-4.5941736201872503e-91,-3.6380553176755093e-81,-3.638055391194093e-81,-3.6380553176755098e-81,3.9469989099409144e-79,-3.6380553176755098e-81,xfmr
3,10,0,0,-3.172928519241501e-31,-3.5359841110850275e-31,-3.535982919576862e-31,-3.5359840076553e-31,-3.1729285193390173e-31,-3.5359840076553e-31,xfmr
3,11,0,0,-0.00020108641110567346,7.57767988357718e-6,7.595125159715675e-6,7.57767988357718e-6,-6.589181693694576e-10,7.57767988357718e-6,xfmr
3,12,0,0,-5.101040969557382e-7,7.362687189296754e-8,7.362717804486703e-8,7.362687189296754e-8,-4.418922039486671e-14,7.362687189296754e-8,xfmr
5,0,-1.3257555144456802e-30,-2.0355103383568963e-30,0,0,0,0,0,0,bus
5,1,-0.002319529382478551,-0.008064876270096475,0,0,0,0,0,0,bus
5,2,0.007731612343948385,-0.030369283781986032,0,0,0,0,0,0,bus
5,3,0.00772350384476302,-0.030428800427842722,0,0,0,0,0,0,bus
5,4,0.008402389585549898,-0.0324065376395686,0,0,0,0,0,0,bus
5,5,0.008400518225620048,-0.03241461126233652,0,0,0,0,0,0,bus
5,6,0.024115006172762417,-0.024439826344922484,0,0,0,0,0,0,bus
5,7,0.024115167487429087,-0.024440069130070238,0,0,0,0,0,0,bus
5,8,0.024116486144742554,-0.024440951478274915,0,0,0,0,0,0,bus
5,9,0,0,-0.030197754831596358,-0.008324862321278709,-0.002480491477911424,0.007889335162562927,-0.008022454199116416,0.007889335162562927,xfmr
5,10,0,0,-0.03240211688034272,0.008413846399855358,0.00771196688021969,0.008413846399855358,-0.03043291252474557,0.008413846399855358,xfmr
5,11,0,0,-0.033213804325538186,0.008687374706382277,0.008377401590461478,0.024130389350690527,-0.032423680134689374,0.024130389350690527,xfmr
5,12,0,0,-0.02444078767970815,0.024116545776995894,0.024115105158863958,0.024116545776995894,-0.02444023019607387,0.024116545776995894,xfmr
7,0,6.422413479635512e-31,-5.546565017550983e-30,0,0,0,0,0,0,bus
7,1,-0.0030635300049681,-0.008881129070541298,0,0,0,0,0,0,bus
7,2,-0.026380911262365695,-0.02313244642252763,0,0,0,0,0,0,bus
7,3,-0.02644557782658765,-0.023161791112892693,0,0,0,0,0,0,bus
7,4,-0.027993548006487894,-0.024902586566358426,0,0,0,0,0,0,bus
7,5,-0.02800156816748825,-0.024905723815923996,0,0,0,0,0,0,bus
7,6,-0.037566913220864875,-0.007863211852571522,0,0,0,0,0,0,bus
7,7,-0.03756730945757943,-0.007863260395524827,0,0,0,0,0,0,bus
7,8,-0.03756925665194863,-0.007864295823454558,0,0,0,0,0,0,bus
7,9,0,0,-0.03325788854018809,-0.011125660675949974,-0.0032133707643115174,-0.026264049049352273,-0.008832589908487147,-0.026264049049352273,xfmr
7,10,0,0,-0.024909882922726705,-0.02798453939006973,-0.026454271020689226,-0.02798453939006973,-0.023154213989602795,-0.02798453939006973,xfmr
7,11,0,0,-0.02560704553978912,-0.028584465419984644,-0.028019255076348205,-0.03755839597719909,-0.024891748058842655,-0.03755839597719909,xfmr
7,12,0,0,-0.007864454143398227,-0.037569123825315034,-0.0375674373142851,-0.037569123825315034,-0.007863101035211663,-0.037569123825315034,xfmr
9,0,0.0,4.2168791772922093e-81,0,0,0,0,0,0,bus
9,1,8.636168555094445e-78,0.0,0,0,0,0,0,0,bus
9,2,-1.0285484628958877e-6,0.010097777104191697,0,0,0,0,0,0,bus
9,3,1.0285484628970833e-6,0.010103226731421354,0,0,0,0,0,0,bus
9,4,-3.4859241893190415e-8,0.014289590474402461,0,0,0,0,0,0,bus
9,5,3.48592418928707e-8,0.014289727229065427,0,0,0,0,0,0,bus
9,6,-4.156074643794092e-7,-0.0006030496829044115,0,0,0,0,0,0,bus
9,7,-4.1596441443051275e-7,-0.0006030503908288717,0,0,0,0,0,0,bus
9,8,-1.8868204109124915e-7,-1.8037749630157691e-6,0,0,0,0,0,0,bus
9,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,xfmr
9,10,0,0,-7.001686937087224e-31,1.2128749036324656e-32,1.212874619157667e-32,1.2128752582394498e-32,-7.001686937106506e-31,1.2128752582394498e-32,xfmr
9,11,0,0,-0.0006019863812323473,1.2970468865778304e-5,1.312735426911929e-5,1.2970468865778304e-5,-3.4211770198968886e-9,1.2970468865778304e-5,xfmr
9,12,0,0,-1.5094351895272564e-6,1.2578352918804647e-7,1.2578624692079396e-7,1.2578352918804647e-7,-2.2647772895557732e-13,1.2578352918804647e-7,xfmr
13,0,-1.9789458692822368e-33,-3.5807993674247955e-33,0,0,0,0,0,0,bus
13,1,-0.006489300565582214,-0.0035667119611057963,0,0,0,0,0,0,bus
13,2,-0.027656396711531188,0.0004834041282426027,0,0,0,0,0,0,bus
13,3,-0.027707751959977163,0.0004879918766111332,0,0,0,0,0,0,bus
