h,ae,me,mm,ksb,lim
2.0,0.007603024767565917,0.011755212072044779,0.007604557798405705,0.007206931198858628,0.014
3.0,0.00878017526200623,0.01161883796624821,0.010602224608157068,0.00812472790957624,0.02
4.0,0.000775718229487273,0.003866736171015022,0.006553882054926908,0.0007607258456495924,0.008
5.0,0.0021083263801487807,0.010562273471466066,0.017209547359809098,0.0015674777370347929,0.02
6.0,0.00027903367087532733,0.0010285311719383668,0.00323911069932379,0.00016824934230183361,0.004
7.0,0.0017192570147376894,0.002342067388957756,0.0030680780946195957,0.0031208990017373324,0.02
8.0,9.603259694442062e-5,0.0002269365722632185,0.0021981356414746984,7.878538479430086e-5,0.004
9.0,3.219720801096884e-5,0.0016960910245279333,0.0061669299311246355,0.00020900946040463192,0.01
10.0,0.00011706311693510365,0.0009270294590857763,0.0030085028068890956,0.00012715830851565139,0.0035
11.0,0.00011944927648254484,0.005714398665438397,0.012304914223810491,0.0005063817420117271,0.015
12.0,3.446111427012749e-5,0.001209959520217879,0.0020365424767476684,5.262677223998698e-5,0.00318
13.0,0.0002782076894164354,0.005158392026415071,0.009794837656988246,0.0002973503154937698,0.015
14.0,0.00010642973066725753,0.0009532715202364897,0.0014012615996124827,0.0001221503148727675,0.00296
15.0,6.657923157053014e-5,0.0006985972045889151,0.0004933546125447879,0.0002312482956160962,0.003
16.0,0.00012096784867901677,0.0005297447012116517,0.000747972711140329,5.466479281517264e-5,0.00279
17.0,0.00019214075147848842,0.0011728916871266825,0.0026230277066454128,0.00026507993415528285,0.012
18.0,2.6752893949964672e-5,9.214849946024791e-5,0.0005639061078614008,0.00015419502160117876,0.00266
19.0,9.066785149938977e-5,0.00037629912130979416,0.00217186864230372,0.0004030553977286557,0.01074
20.0,6.391797421712337e-5,0.0005249180890633007,0.00039455869529562895,2.935990399624754e-5,0.00255
21.0,1.1578854139782455e-5,0.0005827781806740427,0.0003787539308565824,3.7977615607189766e-6,0.002
22.0,5.189493857918177e-5,0.0005848199119038997,0.00045026760517833704,3.335375664469131e-5,0.00246
23.0,0.00017366544812819776,0.001600114907267055,0.0010846812939723184,0.00010047153642644983,0.00887
24.0,3.9518435025733566e-5,0.00029603657828981193,6.791964782375662e-5,1.5296799734703717e-5,0.00239
25.0,0.00017128648773797044,0.0007679384594308272,0.0015138191804585422,4.36834397892108e-5,0.00816
26.0,1.101701419186257e-5,0.00022759215083592503,0.00010480069264343626,1.315572210038476e-5,0.00233
27.0,6.173408423861185e-6,0.0004859414149155125,8.56304850484779e-5,1.164748441687721e-5,0.002
28.0,6.040185451338254e-6,0.000579811342512121,5.737777264459713e-5,5.783354624518941e-6,0.00228
29.0,6.779669042543351e-5,0.0014130374153809944,6.175950083134823e-5,3.0965916618095485e-5,0.00703
30.0,4.823560852503073e-5,0.0003124226657431585,0.00012606267331082943,5.850952294354725e-7,0.00223
31.0,0.00020566382055321248,0.0004606278834953662,0.0005756433323401349,1.164345733820658e-5,0.00658
32.0,7.152868987804977e-5,1.875847652694008e-5,0.00030882124299911283,1.848083094623869e-7,0.00219
33.0,5.984377497860171e-5,0.0001636543713457539,0.00021831798294733,5.631329712933324e-7,0.002
34.0,4.415239911529976e-5,0.0003304358534152926,0.0001062858668056818,3.5150774864714233e-6,0.00216
35.0,9.262157213814344e-5,0.0013069226832198362,3.545151809587687e-5,2.1902710199989463e-5,0.00583
36.0,1.9426930704721597e-5,0.0006353366399980347,0.00011104981143679073,3.9284231716375615e-6,0.00213
37.0,4.462740833085832e-5,0.0020586182575510325,0.0005068190110015057,2.0876774329845758e-5,0.00551
38.0,2.1283786314303277e-5,0.0009489251419667306,0.0002815556593300152,4.210946550838663e-6,0.0021
39.0,2.5578877300106667e-5,0.0010635065174486062,0.0003413113391699642,1.1952343043253076e-6,0.002
40.0,2.626085258064226e-5,0.0012765129682146801,0.0004222414567008122,2.6357148910495145e-6,0.00208
41.0,7.383630867388413e-5,0.0034724493441555646,0.0011333130385500305,6.924092215240459e-5,0.00498
42.0,3.0335871946864528e-5,0.0015988108038393568,0.0003985839657607584,6.304107025260793e-5,0.00205
43.0,0.0003782052295129251,0.0005704358776491363,0.00013351979024815372,0.0004997509549286309,0.00474
44.0,5.112380035088678e-5,0.0021233978042718153,0.0008578631207451028,1.5092292512894873e-5,0.00203
45.0,1.794245840747931e-5,0.00209129586495318,0.0008777103744932455,6.279361908909575e-6,0.002
46.0,9.138120878506435e-6,0.0021016900926115935,0.0008710652482236394,1.2176699893603792e-5,0.00201
47.0,1.105685110569752e-5,0.004540056292848338,0.001567546852561865,5.4402310655624304e-5,0.00434
48.0,1.398540710783702e-6,0.0017625179386666627,0.0007067393892827323,9.486376552079142e-6,0.002
49.0,2.727789725766735e-5,0.0027944360303742066,0.0009265048883705881,7.673057689843754e-5,0.00416
50.0,1.5165504476583732e-5,0.0011373735123465924,0.00037264140833041223,2.6355437934561107e-5,0.00198
